pozo_id,x_m,y_m,profundidad_m,unidad_sintetica,as_ug_l,muestra_aleatoria_50,muestra_preferencial_50
S0105,76603.6,60991.0,56.6,Arenas Puelches,34.67,False,False
S0106,6771.4,51287.9,46.3,Pampeano profundo,11.74,False,False
S0107,60681.4,28770.4,52.0,Pampeano profundo,15.34,False,False
S0108,85707.9,10899.0,41.6,Pampeano profundo,15.27,False,False
S0109,62834.8,47615.7,42.2,Pampeano profundo,35.89,True,False
S0110,32133.8,16331.1,40.6,Pampeano profundo,9.25,False,False
S0111,65579.6,70338.5,35.8,Pampeano profundo,29.25,False,False
S0112,33815.3,70334.6,48.9,Pampeano profundo,16.53,False,False
S0113,66859.3,39600.8,60.4,Arenas Puelches,21.68,False,False
S0114,12834.4,55192.7,38.9,Pampeano profundo,10.86,False,False
S0115,27999.2,58158.2,32.1,Pampeano profundo,12.79,False,False
S0116,3271.8,27450.0,29.5,Pampeano profundo,8.39,False,False
S0117,8390.9,12285.2,58.7,Arenas Puelches,3.2,False,False
S0118,55477.0,34299.7,38.2,Pampeano profundo,17.73,False,False
S0119,23169.8,40271.6,26.7,Pampeano profundo,10.61,False,False
S0120,51608.3,55457.4,26.9,Pampeano profundo,27.09,False,False
S0121,65957.0,54737.2,40.8,Pampeano profundo,40.61,False,False
S0122,88118.6,4434.5,63.7,Arenas Puelches,8.71,False,False
S0123,35506.1,73759.0,57.8,Arenas Puelches,8.86,False,False
S0124,31867.9,16409.7,49.5,Pampeano profundo,11.07,False,False
S0125,31366.7,18693.8,33.4,Pampeano profundo,12.99,False,False
S0126,11785.0,7128.0,49.9,Pampeano profundo,10.94,False,False
S0127,66318.3,39685.3,44.2,Pampeano profundo,27.9,False,False
S0128,81965.5,73948.9,55.8,Arenas Puelches,20.78,False,False
S0129,47300.5,53012.3,70.4,Arenas Puelches,16.58,False,False
S0130,55829.7,39308.0,42.6,Pampeano profundo,22.51,True,False
S0131,95848.0,68742.5,33.8,Pampeano profundo,22.52,False,False
S0132,69891.5,75965.1,70.0,Arenas Puelches,18.83,False,False
S0133,74503.5,44889.3,45.7,Pampeano profundo,34.37,False,False
S0134,88949.8,63439.5,47.2,Pampeano profundo,30.03,False,False
S0135,21579.1,78622.7,21.7,Pampeano somero,17.82,False,False
S0136,65016.6,2352.9,55.5,Arenas Puelches,8.28,False,False
S0137,71739.5,46806.8,60.1,Arenas Puelches,34.83,False,False
S0138,84222.8,55078.2,52.0,Pampeano profundo,37.76,False,False
S0139,34378.6,43557.0,56.1,Arenas Puelches,8.24,False,False
S0140,68879.5,24289.4,42.4,Pampeano profundo,17.05,True,False
S0141,60440.1,21374.8,62.4,Arenas Puelches,7.88,True,False
S0142,40936.1,70810.1,53.1,Pampeano profundo,19.44,False,False
S0143,10168.6,70459.1,61.3,Arenas Puelches,4.67,False,False
S0144,35304.8,11011.4,23.1,Pampeano somero,16.92,False,False
S0145,96348.5,59545.2,35.5,Pampeano profundo,27.65,False,False
S0146,21652.4,55927.7,52.2,Pampeano profundo,11.37,False,False
S0147,11363.8,36953.7,44.9,Pampeano profundo,9.61,False,False
S0148,36767.9,31800.7,32.4,Pampeano profundo,11.29,False,False
S0149,10098.1,25925.3,41.4,Pampeano profundo,9.68,False,False
S0150,26719.9,57390.9,53.4,Pampeano profundo,13.63,False,False
S0151,91445.6,36197.9,63.7,Arenas Puelches,16.13,False,False
S0152,31878.2,54220.2,46.1,Pampeano profundo,14.64,False,False
S0153,58589.0,55915.8,47.3,Pampeano profundo,35.31,False,False
S0154,23874.5,78495.6,47.7,Pampeano profundo,12.06,False,False
S0155,66798.0,54683.3,46.6,Pampeano profundo,42.25,False,True
S0156,12765.6,6310.1,63.7,Arenas Puelches,4.59,False,False
S0157,78980.9,17733.7,43.5,Pampeano profundo,15.34,False,False
S0158,42294.6,47097.3,44.5,Pampeano profundo,18.99,False,False
S0159,18366.0,1990.8,39.1,Pampeano profundo,9.65,True,False
S0160,75825.0,36278.5,66.9,Arenas Puelches,19.43,False,False
S0161,55428.3,24483.3,39.4,Pampeano profundo,13.7,False,False
S0162,43814.5,14314.9,55.0,Arenas Puelches,7.13,False,False
S0163,24062.6,3649.2,41.4,Pampeano profundo,11.51,False,False
S0164,78136.6,1344.7,43.1,Pampeano profundo,14.24,True,False
S0165,36528.5,13591.6,18.5,Pampeano somero,15.75,False,False
S0166,4309.1,75075.8,38.9,Pampeano profundo,11.1,False,False
S0167,96536.9,26189.5,70.8,Arenas Puelches,11.31,False,False
S0168,3046.5,74988.7,31.1,Pampeano profundo,12.76,False,True
S0169,12046.9,7856.2,8.0,Pampeano somero,16.37,False,False
S0170,46581.3,48321.2,48.1,Pampeano profundo,24.14,False,False
S0171,20785.5,42319.3,27.1,Pampeano profundo,12.55,False,False
S0172,33513.5,50783.0,21.6,Pampeano somero,18.66,False,False
S0173,56756.5,67798.5,39.4,Pampeano profundo,26.24,False,False
S0174,95784.2,31191.2,34.2,Pampeano profundo,18.26,True,False
S0175,93631.2,53226.3,62.5,Arenas Puelches,24.76,False,False
S0176,7389.6,16904.3,42.1,Pampeano profundo,11.19,False,False
S0177,85331.4,62862.8,56.3,Arenas Puelches,26.94,False,True
S0178,16782.4,42756.9,33.0,Pampeano profundo,11.37,False,False
S0179,81143.3,6430.0,47.0,Pampeano profundo,14.78,False,False
S0180,29634.7,23439.1,35.3,Pampeano profundo,11.43,False,False
S0181,71783.4,10785.7,50.1,Pampeano profundo,14.91,False,False
S0182,71879.3,59616.3,20.0,Pampeano somero,45.4,False,True
S0183,85055.1,32304.6,47.9,Pampeano profundo,22.01,False,False
S0184,97962.6,41867.9,62.2,Arenas Puelches,17.81,False,False
S0185,27548.1,48759.2,61.8,Arenas Puelches,7.38,False,False
S0186,62830.8,29822.5,55.5,Arenas Puelches,12.96,False,False
S0187,73926.1,78876.6,48.6,Pampeano profundo,21.81,False,False
S0188,7962.9,60237.8,18.5,Pampeano somero,15.86,False,False
S0189,66296.1,51879.8,47.8,Pampeano profundo,40.7,False,False
S0190,32151.6,12163.8,18.3,Pampeano somero,14.58,False,False
S0191,16146.9,29679.0,29.1,Pampeano profundo,9.79,False,False
S0192,54947.2,30332.4,42.0,Pampeano profundo,15.8,False,False
S0193,46188.4,56299.4,40.2,Pampeano profundo,22.04,False,False
S0194,57708.0,6509.6,55.5,Arenas Puelches,7.26,False,False
S0195,64191.8,11196.8,42.2,Pampeano profundo,11.92,False,False
S0196,49866.9,63529.0,28.7,Pampeano profundo,24.26,False,False
S0197,90515.1,30588.8,42.9,Pampeano profundo,20.9,False,False
S0198,17791.4,23952.9,30.9,Pampeano profundo,9.35,False,False
S0199,28879.2,8404.0,54.3,Pampeano profundo,10.53,True,False
S0200,35622.2,6768.2,24.5,Pampeano somero,15.09,False,False
S0201,77438.2,33517.9,41.3,Pampeano profundo,22.61,False,False
S0202,65209.8,36798.0,56.7,Arenas Puelches,19.08,False,False
S0203,20642.3,77592.9,30.0,Pampeano profundo,14.2,False,False
S0204,74444.2,53153.6,51.4,Pampeano profundo,41.64,True,False
S0205,77153.7,17763.3,47.5,Pampeano profundo,16.01,False,False
S0206,77024.1,54660.0,43.0,Pampeano profundo,41.12,False,False
S0207,7837.3,1023.2,17.7,Pampeano somero,12.77,False,False
S0208,21213.9,59564.7,40.8,Pampeano profundo,12.18,False,False
S0209,89538.5,25016.1,42.4,Pampeano profundo,15.76,False,False
S0210,87943.2,54355.9,51.8,Pampeano profundo,33.36,False,False
S0211,20557.3,76429.8,22.8,Pampeano somero,18.66,True,False
S0212,55137.6,79126.8,50.8,Pampeano profundo,17.83,False,False
S0213,26268.3,44402.0,48.9,Pampeano profundo,10.87,False,False
S0214,41628.5,5585.7,59.7,Arenas Puelches,4.97,False,False
S0215,2094.5,4941.6,32.3,Pampeano profundo,8.14,False,False
S0216,28176.0,21700.4,32.9,Pampeano profundo,10.25,False,False
S0217,27068.1,7539.6,52.0,Pampeano profundo,10.2,False,False
S0218,91913.0,23028.8,36.3,Pampeano profundo,14.83,False,False
S0219,58797.0,70848.1,34.6,Pampeano profundo,24.35,False,False
S0220,17751.6,24595.0,36.3,Pampeano profundo,9.29,False,True
S0221,42756.5,26351.4,29.4,Pampeano profundo,13.84,False,False
S0222,49293.6,66482.0,61.1,Arenas Puelches,18.21,False,True
S0223,63736.0,60875.1,57.1,Arenas Puelches,32.9,False,False
S0224,53244.8,25811.3,18.2,Pampeano somero,17.75,False,False
S0225,42099.3,40189.7,17.2,Pampeano somero,21.97,False,False
S0226,31079.3,44808.8,33.9,Pampeano profundo,14.93,False,False
S0227,57500.0,57830.8,50.8,Pampeano profundo,32.1,False,False
S0228,97583.2,10715.7,57.9,Arenas Puelches,11.27,False,False
S0229,55298.7,60278.2,61.5,Arenas Puelches,25.44,False,False
S0230,88701.2,7766.2,52.0,Pampeano profundo,14.64,False,False
S0231,1527.2,46968.8,25.3,Pampeano profundo,9.81,True,False
S0232,20309.7,75616.4,45.5,Pampeano profundo,11.57,False,False
S0233,86476.8,13715.7,34.5,Pampeano profundo,15.47,False,False
S0234,56947.3,61965.2,34.8,Pampeano profundo,30.46,False,False
S0235,48755.8,31311.3,24.5,Pampeano somero,20.37,False,False
S0236,36880.4,18640.9,31.6,Pampeano profundo,14.98,False,False
S0237,29526.6,41095.1,34.0,Pampeano profundo,11.34,False,False
S0238,67883.0,15244.2,39.2,Pampeano profundo,15.89,False,False
S0239,36573.5,35616.6,63.6,Arenas Puelches,8.2,False,False
S0240,43523.5,46875.4,44.4,Pampeano profundo,18.53,False,False
S0241,77684.8,61663.1,51.5,Pampeano profundo,37.28,False,False
S0242,94618.3,65117.8,51.2,Pampeano profundo,27.66,False,False
S0243,99365.7,71070.7,68.9,Arenas Puelches,15.97,False,False
S0244,48491.5,38890.1,32.4,Pampeano profundo,17.21,False,False
S0245,13816.9,73158.4,48.7,Pampeano profundo,11.42,False,False
S0246,2492.4,71691.7,28.0,Pampeano profundo,10.37,False,False
S0247,49465.7,39096.5,42.3,Pampeano profundo,17.87,False,False
S0248,7635.5,8761.9,44.9,Pampeano profundo,11.09,False,False
S0249,11771.3,29173.0,23.2,Pampeano somero,15.72,False,False
S0250,23483.9,59664.7,36.2,Pampeano profundo,17.6,True,False
S0251,99199.3,44833.3,50.0,Pampeano profundo,22.25,False,False
S0252,16222.9,14980.6,46.0,Pampeano profundo,8.77,False,False
S0253,11013.2,68892.5,36.6,Pampeano profundo,15.15,False,False
S0254,91592.4,51673.2,82.8,Arenas Puelches,24.35,False,False
S0255,62207.0,10277.7,68.0,Arenas Puelches,8.52,False,False
S0256,73990.1,65608.7,20.5,Pampeano somero,40.52,False,False
S0257,35473.3,41170.8,43.7,Pampeano profundo,13.45,False,True
S0258,93383.3,28603.4,55.9,Arenas Puelches,11.81,False,False
S0259,97610.1,41893.2,53.8,Pampeano profundo,21.84,False,False
S0260,55845.6,43217.3,61.4,Arenas Puelches,24.41,False,False
S0261,98684.0,78244.4,15.5,Pampeano somero,25.69,False,False
S0262,50579.4,54766.3,31.2,Pampeano profundo,28.76,False,False
S0263,43974.0,21893.4,61.8,Arenas Puelches,6.76,False,False
S0264,78543.4,33363.8,62.0,Arenas Puelches,17.36,False,False
S0265,64424.8,8950.8,73.2,Arenas Puelches,9.22,False,False
S0266,20053.0,28395.3,60.3,Arenas Puelches,6.39,False,False
S0267,51493.9,64589.7,28.8,Pampeano profundo,24.28,False,False
S0268,1645.9,32341.5,50.6,Pampeano profundo,9.23,False,False
S0269,87566.0,64769.5,45.1,Pampeano profundo,32.66,False,False
S0270,54244.6,25192.6,47.0,Pampeano profundo,14.82,False,False
S0271,4618.7,49840.6,39.2,Pampeano profundo,8.59,False,False
S0272,93775.9,5881.9,43.7,Pampeano profundo,14.82,False,False
S0273,99943.6,10688.7,44.0,Pampeano profundo,15.1,False,False
S0274,73730.5,32704.3,56.1,Arenas Puelches,15.25,False,False
S0275,43132.3,73341.4,36.6,Pampeano profundo,17.8,False,False
S0276,59141.9,56959.1,47.7,Pampeano profundo,36.47,False,False
S0277,1023.2,17628.6,43.9,Pampeano profundo,7.71,False,False
S0278,10844.9,23802.2,32.9,Pampeano profundo,9.18,False,False
S0279,33099.9,3588.3,38.5,Pampeano profundo,14.43,False,False
S0280,41126.9,51312.1,56.7,Arenas Puelches,12.85,False,False
S0281,75594.9,75778.6,26.7,Pampeano profundo,24.68,False,False
S0282,17073.0,51380.5,32.0,Pampeano profundo,11.69,False,False
S0283,11610.5,60436.4,23.3,Pampeano somero,18.29,False,False
S0284,69746.4,30381.6,49.0,Pampeano profundo,20.2,False,False
S0285,88803.2,62404.9,81.1,Arenas Puelches,28.22,False,False
S0286,87966.7,39173.1,33.8,Pampeano profundo,24.03,False,False
S0287,74191.6,56820.8,61.6,Arenas Puelches,38.76,False,False
S0288,98356.7,20694.3,66.8,Arenas Puelches,11.63,False,False
S0289,52209.2,56377.7,18.6,Pampeano somero,31.94,False,False
S0290,77446.9,18698.2,31.2,Pampeano profundo,16.11,False,False
S0291,41717.7,26863.5,42.8,Pampeano profundo,18.6,False,False
S0292,35325.6,22755.7,30.4,Pampeano profundo,11.89,False,True
S0293,91082.2,35033.8,52.3,Pampeano profundo,22.79,False,False
S0294,43070.7,17237.4,59.6,Arenas Puelches,6.68,False,False
S0295,74647.1,48330.6,55.4,Arenas Puelches,32.84,False,False
S0296,49702.3,51649.8,41.6,Pampeano profundo,25.58,False,False
S0297,11221.3,18219.1,46.2,Pampeano profundo,8.36,False,False
S0298,12687.6,61737.5,43.7,Pampeano profundo,11.01,True,True
S0299,51012.3,53128.4,28.9,Pampeano profundo,30.27,False,False
S0300,70767.8,76658.9,39.3,Pampeano profundo,22.28,False,False
S0301,74248.4,69248.6,52.5,Pampeano profundo,32.18,False,False
S0302,33569.7,75732.6,41.2,Pampeano profundo,14.8,False,False
S0303,921.1,73752.4,42.0,Pampeano profundo,11.19,False,False
S0304,53335.6,72489.3,55.1,Arenas Puelches,15.59,False,False
S0305,18956.7,78698.2,11.2,Pampeano somero,17.68,False,False
S0306,32012.0,76431.8,59.6,Arenas Puelches,7.87,False,False
S0307,56644.9,28524.0,21.9,Pampeano somero,23.75,False,False
S0308,39183.3,10598.0,42.8,Pampeano profundo,11.52,False,False
S0309,45900.2,74418.1,45.3,Pampeano profundo,19.52,False,False
S0310,5045.9,25019.1,36.8,Pampeano profundo,8.81,False,False
S0311,18301.5,69238.2,42.4,Pampeano profundo,13.39,False,False
S0312,84189.6,79644.5,41.3,Pampeano profundo,22.54,False,False
S0313,51188.1,49695.5,35.4,Pampeano profundo,24.49,False,True
S0314,88511.8,22919.3,47.4,Pampeano profundo,19.57,False,False
S0315,85730.1,53122.0,50.3,Pampeano profundo,42.53,False,False
S0316,19317.0,67595.6,32.0,Pampeano profundo,13.82,False,False
S0317,39959.7,13620.2,46.6,Pampeano profundo,10.28,False,False
S0318,52577.8,70165.1,33.9,Pampeano profundo,21.31,False,False
S0319,9751.5,57499.7,32.1,Pampeano profundo,9.11,False,False
S0320,8535.6,73855.6,36.1,Pampeano profundo,10.55,False,False
S0321,84148.7,27667.2,53.4,Pampeano profundo,21.57,False,False
S0322,82671.4,72829.2,44.1,Pampeano profundo,28.08,False,False
S0323,38328.9,14733.7,47.2,Pampeano profundo,10.47,False,False
S0324,70658.5,58092.9,65.7,Arenas Puelches,35.74,False,False
S0325,51793.3,74474.3,38.4,Pampeano profundo,18.82,False,False
S0326,74765.4,44180.0,62.5,Arenas Puelches,31.48,False,False
S0327,31518.5,12048.0,25.8,Pampeano profundo,11.44,False,False
S0328,47403.6,76917.4,51.3,Pampeano profundo,19.75,False,False
S0329,89295.6,46979.1,46.3,Pampeano profundo,29.51,False,False
S0330,81664.4,22028.3,73.0,Arenas Puelches,11.44,False,False
S0331,30996.4,73571.2,35.5,Pampeano profundo,12.97,False,False
S0332,88177.1,66121.2,38.4,Pampeano profundo,29.38,False,False
S0333,39871.9,75068.0,55.3,Arenas Puelches,10.05,False,False
S0334,68238.0,51767.9,51.0,Pampeano profundo,40.52,False,False
S0335,71151.1,17503.9,47.3,Pampeano profundo,15.52,False,False
S0336,40168.5,47863.2,13.7,Pampeano somero,21.38,False,False
S0337,82709.4,40646.7,52.5,Pampeano profundo,28.32,False,False
S0338,46535.2,40613.2,42.1,Pampeano profundo,17.12,False,True
S0339,96068.9,1148.1,50.3,Pampeano profundo,17.46,False,False
S0340,93669.9,20582.8,39.7,Pampeano profundo,19.74,False,False
S0341,90026.5,21547.2,64.2,Arenas Puelches,15.4,False,False
S0342,90835.3,7043.6,48.5,Pampeano profundo,16.54,False,False
S0343,14704.7,30297.1,36.5,Pampeano profundo,10.11,False,False
S0344,64833.4,35901.7,26.8,Pampeano profundo,22.42,False,False
S0345,74111.5,54879.6,44.2,Pampeano profundo,41.63,False,False
S0346,52875.9,41571.9,30.9,Pampeano profundo,22.23,False,False
S0347,52922.1,36301.8,60.4,Arenas Puelches,12.71,False,True
S0348,20143.1,11696.5,43.0,Pampeano profundo,10.96,False,False
S0349,16078.7,18883.5,32.3,Pampeano profundo,10.13,False,False
S0350,78313.4,25623.2,44.8,Pampeano profundo,16.1,False,False
S0351,14960.6,11879.6,56.8,Arenas Puelches,4.17,False,False
S0352,72819.7,20575.5,48.0,Pampeano profundo,16.7,False,False
S0353,7706.8,32335.7,38.4,Pampeano profundo,11.56,False,False
S0354,41225.2,18449.9,64.8,Arenas Puelches,7.21,False,False
S0355,2401.1,20413.6,42.3,Pampeano profundo,9.69,False,False
S0356,66037.3,62694.3,56.4,Arenas Puelches,32.54,False,True
S0357,29291.6,29016.9,36.9,Pampeano profundo,10.94,False,False
S0358,46770.0,30592.4,38.6,Pampeano profundo,14.65,False,False
S0359,28644.9,62569.0,51.2,Pampeano profundo,13.61,False,False
S0360,51577.4,61459.1,43.2,Pampeano profundo,25.38,False,False
S0361,65764.7,57310.9,49.8,Pampeano profundo,40.53,False,False
S0362,16691.3,46502.3,38.8,Pampeano profundo,11.06,False,False
S0363,77704.9,5062.4,46.9,Pampeano profundo,14.75,False,False
S0364,78251.5,68801.7,45.4,Pampeano profundo,31.69,False,False
S0365,94216.6,50154.9,33.1,Pampeano profundo,28.05,False,False
S0366,38069.5,75226.9,57.8,Arenas Puelches,8.47,False,False
S0367,87313.1,14487.5,40.9,Pampeano profundo,20.75,False,False
S0368,9368.5,9356.7,24.4,Pampeano somero,14.97,False,False
S0369,99390.6,72170.2,50.5,Pampeano profundo,22.47,False,False
S0370,21220.7,25225.8,32.3,Pampeano profundo,13.88,False,False
S0371,37384.9,76782.3,57.2,Arenas Puelches,11.33,False,False
S0372,9350.3,60501.8,46.4,Pampeano profundo,11.65,False,False
S0373,83514.2,17996.9,40.6,Pampeano profundo,16.63,False,False
S0374,48593.3,50126.9,32.8,Pampeano profundo,26.55,False,False
S0375,96240.1,27307.7,56.9,Arenas Puelches,13.09,False,False
S0376,14461.6,65630.8,31.0,Pampeano profundo,10.37,False,False
S0377,89182.2,51462.0,31.9,Pampeano profundo,31.23,False,True
S0378,35954.6,58350.0,22.0,Pampeano somero,23.14,False,False
S0379,23629.1,22902.5,48.9,Pampeano profundo,10.39,False,True
S0380,65712.3,1759.2,26.8,Pampeano profundo,13.89,False,False
S0381,3018.8,33051.8,23.8,Pampeano somero,14.25,False,False
S0382,52547.0,57353.9,52.2,Pampeano profundo,28.69,False,False
S0383,47360.5,72992.3,52.9,Pampeano profundo,17.45,False,False
S0384,4850.5,24640.3,24.1,Pampeano somero,14.82,False,False
S0385,43418.2,36714.8,35.4,Pampeano profundo,13.53,False,False
S0386,30491.9,70528.4,52.9,Pampeano profundo,13.42,False,False
S0387,24864.8,20085.4,43.1,Pampeano profundo,9.33,False,False
S0388,93029.4,54491.2,43.2,Pampeano profundo,29.93,False,False
S0389,59829.7,70668.9,46.1,Pampeano profundo,26.09,False,True
S0390,15415.8,50429.7,44.4,Pampeano profundo,10.94,False,False
S0391,75713.2,9252.5,33.4,Pampeano profundo,14.48,False,False
S0392,36956.7,52182.8,29.8,Pampeano profundo,14.43,False,True
S0393,59885.1,3327.7,58.1,Arenas Puelches,6.65,False,False
S0394,37993.5,22540.3,63.2,Arenas Puelches,6.65,False,False
S0395,63854.6,70748.2,56.1,Arenas Puelches,23.33,False,False
S0396,68193.7,57142.3,43.5,Pampeano profundo,41.85,False,False
S0397,28353.4,17208.7,32.8,Pampeano profundo,9.26,False,False
